11/6/2025 - ER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Acoplamiento FA/FUS,,,,,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Maxima (rpm),,Medidas generales (mm),,,,,,,,,,
,,,,Ø J Max,Ø A,Ø B,Ø C,D,E,F,G,K,L,Ø H
,,S/Balan,C/Balan y AR*,,,,,,,,,,,
FA 3,89,3750,4500,35,94,48,100,98,29,40,27,4,12,88
FA 4,373,3750,4500,50,124,70,132,130,40,50,41,5,17,118
FA 5,755,3000,4300,60,150,85,161,171,53,65,52,6,21,140
FA 6,1059,3000,4300,75,168,106,180,185,60,65,60,6,25,160
FA 7,2030,2500,4000,80,212,120,220,215,60,95,60,7,25,200
FA 8,2599,2300,4000,100,235,140,243,255,80,95,80,7,25,229
FA 9,7063,1800,3750,110,287,190,298,320,100,120,100,9,30,275
FA 10,11821,1500,3000,130,355,230,368,395,120,155,110,12,35,315
FA 11,21915,1200,2800,150,435,280,451,465,140,185,130,12,35,400
