11/6/2025 - ER,Unnamed: 1,Unnamed: 2,,Unnamed: 4,Unnamed: 5,,Unnamed: 7,Unnamed: 8,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Acoplamiento FA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Máxima (rpm),,Ø Convencional Min,Ø Convencional Max,,Ø Llena Min,Ø Llena Max,,,,,,
FA 1,29,3750,,0,15,,0,28,,,,,,
FA 2,44,3750,,0,24,,0,36,,,,,,
FA 3,89,3750,,0,32,,0,48,,,,,,
FA 4,373,3750,,0,45,,0,68,,,,,,
FA 5,755,3000,,0,55,,0,87,,,,,,
FA 6,1059,3000,,0,70,,0,90,,,,,,
FA 7,2030,2500,,30,75,,40,112,,,,,,
FA 8,2599,2300,,35,87,,80,125,,,,,,
FA 9,7063,1800,,40,118,,100,160,,,,,,
FA 10,11821,1500,,60,143,,110,180,,,,,,
FA 11,21915,1200,,80,175,,150,220,,,,,,
