Acoplamiento FA/D,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Tamaño,Torque (Nm),Velocidad Máxima (rpm),,Dimensiones generales (mm),,,,,,,,,,,
,,,,Masa Convencional,,,Masa Llena,,,ØA,ØC,D,E,F,DBSE
,,S/ Balan,C/ Balan y AR*,ØI Min,ØI Max,ØB,ØJ Min,ØJ Max,ØH,,,,,,
FA 1,29,3750,4500,-,15,25,-,28,57,61.5,63,63,22,19,Distancia entre puntas de ejes - Tabla III
FA 2,44,3750,4500,-,24,36,-,36,66,73,78,78,24,30,
FA 3,89,3750,4500,-,32,48,-,48,85,94,100,98,29,40,
FA 4,373,3750,4500,-,45,70,-,68,110,124,132,130,40,50,
FA 5,755,3000,4300,-,55,85,-,87,135,150,161,171,53,65,
FA 6,1059,3000,4300,-,70,106,-,90,150,168,180,185,60,65,
FA 7,2030,2500,4000,30,75,120,40,112,180,212,220,215,60,95,
FA 8,2599,2300,4000,35,87,140,80,125,205,235,243,255,80,95,
FA 9,7063,1800,3750,40,118,190,100,160,265,287,298,320,100,120,
FA 10,11821,1500,3000,60,143,230,110,180,315,355,368,395,120,155,
FA 11,21915,1200,2800,80,175,280,150,220,400,435,451,465,140,185,
,,,,,,,,,,,,,,,
Medidas standard de distanciadores para acoples modelo FA,,,,,,,,,,,,,,,
Tamaño,DBSE - Distancia entre puntas de eje (mm),,,,,,,,,,,,,,
,70,90,100,130,140,150,180,200,220,250,,,,,
FA 1,X,X,X,X,,X,,,,,,,,,
FA 2,X,X,X,X,X,X,,,,,,,,,
FA 3,,X,X,X,X,X,,,,,,,,,
FA 4,,,X,X,X,X,X,,X,,,,,,
FA 5,,,X,X,X,X,X,X,X,,,,,,
FA 6,,,,X,X,,X,X,X,X,,,,,
FA 7,,,,X,X,,X,X,,X,,,,,
FA 8,,,,,X,,X,X,,X,,,,,
FA 9,,,,,,,,,,X,,,,,
