12/06/2025 - ER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Acoplamiento FAS NG,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Máxima (rpm),Dimensiones generales (mm),,,,,,,
,,,ØE Min ,ØE Max,Ø A ,Ø B,C,D,F,G
FAS NG 2,250,5000,-,35,58,92,99,46,23,38
FAS NG 3,470,3500,-,45,78,110,111,47,25,43
FAS NG 4,1106,3500,-,60,98,136,122,52,26,48
FAS NG 5,2800,2500,-,75,115,168,158,60,30,64
FAS NG 6,3200,2500,-,85,130,188,169,61,31,70
FAS NG 7 ,6300,2200,-,95,143,230,217,76,39,89
FAS NG 8 ,7800,2000,-,110,168,268,221,78,39,91
FAS NG 9 A ,13000,1800,45,120,193,290,263,94,49,107
FAS NG 9,20000,1500,45,130,195,320,263,94,49,107
FAS NG 10,45000,1300,75,180,280,425,356,148,76,140
FAS NG 11,65000,1200,85,200,290,470,418,154,76,171
FAS NG 12,100000,1100,100,230,350,550,465,198,105,180
FAS NG 14,150000,1000,120,260,400,660,505,208,105,200
FAS NG 16,320000,890,140,290,450,705,608,210,108,250
FAS NG 18,400000,810,160,320,500,745,656,250,136,260
