12/06/2025 - ER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Acoplamiento FAS NG H,,,,,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Máxima (rpm),Dimensiones generales (mm),,,,,,,,,,,
,,,Cubo Estándar FAS NG LP,,,Cubo Mayorado FAS NG LP,,,Media Masa FAS NG,,,Ø B,C,D
,,,ØE Min,ØE Max,ØA,ØE Min,ØE Max,ØA,Øe Min,Øe Max,Øa,,,
FAS NG 7 H,6300,2200,40,90,145,-,-,-,-,95,143,230,234,59
FAS NG 8 H,7800,2000,40,100,155,-,-,-,-,110,168,268,248,59
FAS NG 9 A H,13000,1800,50,120,190,110,130,200,45,120,193,290,286,70
FAS NG 9 H,20000,1500,50,127,195,-,-,-,45,130,195,320,298,70
FAS NG 10 H,45000,1300,100,180,290,160,200,310,75,180,280,425,410,109
FAS NG 11 H,65000,1200,100,200,300,180,213,330,85,200,290,470,454,114
FAS NG 12 H,100000,1100,110,230,350,210,250,390,100,230,350,550,528,150
FAS NG 14 H,150000,1000,150,260,400,240,316,490,120,260,400,660,572,154
FAS NG 16 H,320000,890,150,290,450,270,316,490,140,290,450,705,655,158
FAS NG 18 H,400000,810,180,330,500,310,350,540,160,320,500,745,750,190
