5/5/2025 - ER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Acoplaminento FAS NG LP/FUS,,,,,,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Máxima (rpm) ,Dimensiones generales (mm),,,,,,,,,,,,
,,,ØE Min,ØE Max,ØA,ØI  Min,ØI Max,Ø B,C,D,F,G,H,r,ØJ
FAS NG 7 FUS ,8400,2200,40,90,145,-,80,230,255,80,39,90,75,98,196
FAS NG 8 FUS,11500,2000,40,100,155,30,88,268,257,80,39,100,78.5,109,273
FAS NG 9 A FUS,20000,1800,50,120,190,40,108,290,319,90,48,110,118,133,350
FAS NG 9 FUS,25000,1500,80,130,195,40,108,320,319,94,48,120,118,133,350
FAS NG 10 FUS,50000,1300,90,180,290,50,140,425,438,148,76,160,126,193.5,468
FAS NG 11 FUS,72000,1200,100,200,300,80,159,470,442,152,76,172,122,220,513
FAS NG 12 FUS,105000,1100,110,230,350,80,166,550,540,195,105,200,145,236.5,554
FAS NG 14 FUS,195000,1000,150,260,400,80,226,660,620,205,105,220,200,325,770
FAS NG 16 FUS,360000,890,150,290,450,100,236,705,668,208,108,250,214,350,800
FAS NG 18 FUS,450000,810,180,330,500,140,235,745,752,245,135,300,210,369,828
FAS NG 20 FUS,685000,780,230,360,550,140,280,825,838,246,135,320,276,420,970
FAS NG 22 FUS,1100000,750,250,420,600,140,280,870,974,352,212,350,276,420,970
