"Criterios de selección de acoplamientos
Torque equivalente = Torque nominal x FS
Se debe calcular el par mínimo requerido por el acople:",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tipo de Marcha,,,Velocidad,Factor de Servicio,,,
,,,,,,,,,,,,,,Velocidad constante,"1,2 - 10hs.
1,5 - 24hs.",,,
Torque (Nm),,"7026 x HP
=
RPM",x  FS  =  Valor obtenido,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Con variación de velocidad,"1,5 - 10hs.
2,0 - 24hs.",,,
Ejemplo de cálculo: para un motor de 50 HP a 1500 RPM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Velocidad irregular,"2,5 - 10hs.
3,0 - 24hs.",,,
Torque (Nm),,"7026 x 50
=
1500","x  1,5  =  351,3 Nm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contramarcha,"3,0 - 10hs.
3,5 - 24hs.",,,
,,,,,,,,,,,,,,,,,,
"Con el valor obtenido, de la TABLA II del modelo FA,
se selecciona el acople FA 4 con un torque nominal de 373 Nm.",,,,,,,,,,,,,,,,,,
"HP = Caballo vapor - KW = Kilowatt - RPM = Revoluciones por minuto - FS = Factor de Servicio (Tabla I) - HP = KW x 1,36
Tabla I: Factores de servicio",,,,,,,,,,,,,,,,,,
,Agitadores,,,FS,Sopladores y Ventiladores,,,,,,,FS,Industria del caucho,,,FS,,
,Líquidos,,,"1,00",Centrífugos,,,,,,,"1,00",Calandras,,,"2,00",,
,Líquidos c/sólidos en suspensión,,,"1,25",Metálicos,,,,,,,"1,25",Molinos,,,"2,50",,
,Líquidos c/densidad variable,,,"1,25",Lóbulos,,,,,,,"1,50",Mezcladores,,,"2,50",,
,Mezcladores,,,"1,75",Turboventiladores,,,,,,,"1,25",Conformadora de neumáticos,,,"2,50",,
,,,,,Tiro forzado,,,,,,,"1,50",,,,,,
,Bombas,,,FS,,,,,,,,,Acería,,,FS,,
,,,,,Tiro inducido,,,,,,,"2,00",,,,,,
,,,,,,,,,,,,,,,,,,
,Centrífugas normales,,,"1,00",Torres de enfriamiento,,,,,,,"2,50",Soplantes de alto horno,,,"1,75",,
,Alta densidad y sobrecarga,,,"1,25",,,,,,,,,Convertidores,,,"2,50",,
,,,,,Generadores,,,,,,,FS,,,,,,
,"Rotativa a engranajes, paletas ó lobulos",,,"1,50",,,,,,,,,Elevadores de alto horno inclinados,,,"2,00",,
,,,,,,,,,,,,,,,,,,
,A pistón,,,,Carga uniforme,,,,,,,"1,00",Trituradores,,,"2,00",,
,De 3 ó más cilindros,,,"2,00",Motosoldadores,,,,,,,"2,00",,,,,,
,,,,,,,,,,,,,Aserraderos,,,FS,,
,De 2 ó 1 cilindro,,,"2,50",,,,,,,,,,,,,,
,,,,,Guinches y Puentes Grúa,,,,,,,FS,,,,,,
,De doble efecto,,,"2,50",,,,,,,,,Transportadores,,,"1,70",,
,,,,,,,,,,,,,,,,,,
,,,,,Traslación,,,,,,,"1,75",Sierras,,,"1,75",,
,Trituradores,,,FS,,,,,,,,,,,,,,
,,,,,Malacate principal,,,,,,,"2,00",Descascaradores de tambor,,,"2,00",,
,,,,,,,,,,,,,,,,,,
,"De piedra De caña
Cortadores de caña",,,"2,75
2,50
2,75",,,,,,,,,Rolos de transportes,,,"2,00",,
,,,,,Trenes de laminación,,,,,,,FS,,,,,,
,,,,,Cizallas de corte,,,,,,,"2,50",Mesa de transferencia,,,2.50,,
,Molinos,,,"2,75",Trenes de laminación en frío,,,,,,,"2,00",,,,,,
,Vibradores,,,"1,75",Plantas de colada contínua,,,,,,,"2,50",,,,,,
,,,,,,,,,,,,,Celulosa y papel,,,FS,,
,,,,,Mesas de enfriamiento,,,,,,,"1,75",,,,,,
,Compresores,,,FS,,,,,,,,,,,,,,
,,,,,Cizallas,,,,,,,"2,00",Bombas de servicio,,,"1,00",,
,,,,,,,,,,,,,,,,,,
,Centrífugos,,,"1,25",Transfer transversales,,,,,,,"1,75",Bobinadoras,,,"1,50",,
,Rotativos,,,"1,50",Máquinas decapado,,,,,,,"2,00",Cilindros,,,"1,75",,
,Alternativos de más de 4 cilindros,,,"2,50",Trenes de servicio medio y pesado,,,,,,,"3,00",Tela,,,"1,75",,
,Turbocompresores,,,"2,00",Trenes blooming,,,,,,,"2,50",Desfibradores,,,"1,75",,
,,,,,Manipuladores,,,,,,,"2,00",Calandras,,,"2,00",,
,"Cintas transportadoras, elevadores",,,FS,,,,,,,,,,,,,,
,,,,,Enderezadores,,,,,,,"1,75",Cortadores,,,"2,00",,
,,,,,,,,,,,,,,,,,,
,Montacarga,,,"1,75",Mesas de rodillos (severa),,,,,,,"2,50",Refinadores,,,"2,00",,
,Cintas transportadoras carga uniforme,,,"1,70",Mesas de rodillos (ligero),,,,,,,"1,75",Prensas,,,"2,00",,
,Cintas transportadoras carga no uniforme,,,"2,00",Molinos de chapa,,,,,,,"2,50",Maquinaria para pulper,,,"2,00",,
,Cinta de movimiento alternativo,,,"3,00",Máquina para tubos,,,,,,,"2,00",,,,,,
,Cargas severas,,,"3,00",Máquina de bobinado,,,,,,,"1,75",,,,,,
,,,,,,,,,,,,,,,,,,
,Elevadores,,,"2,00",,,,,,,,,,,,,,
,,,,,Extrusoras,,,,,,,FS,,,,,,
,,,,,,,,,,,,,,,,,,
,Aplicaciones marinas,,,FS,,,,,,,,,,,,,,
,,,,,Densidad constante,,,,,,,"1,50",,,,,,
,Dragas,,,"2,50",,,,,,,,,,,,,,
,,,,,Densidad variable,,,,,,,"2,50",,,,,,
,,,,,,,,,,,,,,,,,,
,"Puede ingresar a nuestro sitio web www.fundaltransmisiones.com.ar, donde encontrará secciones interactivas",,,,,,,,,,,,,,,,,
,para consultar los factores de servicio según el tipo de aplicación del acople y otras aplicaciones de interés.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"4
Versión: 102.2009                                                                                                                                                                  Selección",,,,,,,,,,,,,,,,,,
